WKT;codpostal;codtienda1;codtienda;tienda;retail;direccion1;direccion2;distrito;provincia;departamen;pais;cartodb_id;latitud;longitud;link_googl;telefono_p;otros_tele;horario_do;horario_lu;horario_ma;horario_mi;horario_ju;horario_vi;horario_sa
POINT (-69.181885 -12.5942);17001;63;L063;PUERTO MALDONADO;LA CURACAO;AV. ERNESTO RIVERO MZ. 1 LOTE. 7;;TAMBOPATA;TAMBOPATA;MADRE DE DIOS;PE;141;-12.5942;-69.181885;http://goo.gl/Hx3Yns;;;;;;;;;
POINT (-70.0254354 -15.8374482);21001;64;L064;PUNO;LA CURACAO;CAHUIDE 129;A MEDIA CUADRA DE PLAZA VEA;PUNO;PUNO;PUNO;PE;142;-15.8374482;-70.0254354;http://goo.gl/xKi90Y;(051) 364475;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-72.695208 -12.865018);8741;65;L065;QUILLABAMBA;LA CURACAO;PROLONCION RICARDO PALMA 132;A MEDIA CUADRA DEL MERCADO MODELO;QUILLABAMBA;LA CONVENCION;CUSCO;PE;143;-12.865018;-72.695208;http://goo.gl/HIWz4g;(084) 281687;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-77.0331673 -12.0921837);15073;46;L046;SAN ISIDRO;LA CURACAO;ESQ. AV. JAVIER PRADO 135 Y AV. AREQUIPA 2675;;SAN ISIDRO;LIMA;LIMA;PE;144;-12.0921837;-77.0331673;http://goo.gl/rTAU1d;(01) 2229038;(01) 2227879, (01) 2229039;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00
POINT (-77.008245 -12.0027491);15431;66;L066;SAN JUAN DE LURIGANCHO;LA CURACAO;AV. PROCERES DE LA INDEPENDENCIA 1815;;SAN JUAN DE LURIGANCHO;LIMA;LIMA;PE;145;-12.0027491;-77.008245;http://goo.gl/5MNGh1;(01) 4584604;(01) 3751717;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30
POINT (-76.9721723 -12.155055);15803;67;L067;SAN JUAN DE MIRAFLORES;LA CURACAO;AV. SAN JUAN 1156 - 1156;;SAN JUAN DE MIRAFLORES;LIMA;LIMA;PE;146;-12.155055;-76.9721723;http://goo.gl/y8Kifg;(01) 2767202;(01) 4502809;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00
POINT (-74.6358974 -11.2539497);12261;69;L069;SATIPO;LA CURACAO;JR. AUGUSTO B. LEGUIA 688;A UNA CUADRA DE LA PLAZA MAYOR DE SATIPO;SATIPO;SATIPO;JUNIN;PE;147;-11.2539497;-74.6358974;http://goo.gl/i0dSDd;(064) 545403;(064) 545403;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30
POINT (-80.6877097 -4.8923435);20101;70;L070;SULLANA;LA CURACAO;CALLE SUCR. 601;;SULLANA;PIURA;PIURA;PE;148;-4.8923435;-80.6877097;http://goo.gl/eTZuOU;(073) 503388;;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00
POINT (-70.2503062 -18.0135564);23001;71;L071;TACNA;LA CURACAO;AV. SAN MARTIN 351;FRENTE A LA PLAZA PRINCIPAL;TACNA;TACNA;TACNA;PE;149;-18.0135564;-70.2503062;https://goo.gl/maps/MX8zuSLwEGm;(052) 424799;;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00;09:30-21:00
POINT (-81.2730836 -4.5798237);20811;72;L072;TALARA;LA CURACAO;CENTRO CIVICO 275 - 360;;PARIÑAS;TALARA;PIURA;PE;150;-4.5798237;-81.2730836;http://goo.gl/scLHVM;(073) 383585;(073) 386633;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00
POINT (-80.3434398 -4.9329552);20201;73;L073;TAMBO GRANDE;LA CURACAO;JR. TUMBES 822;FRENTE A LA PLAZA MAYOR;TAMBOGRANDE;PIURA;PIURA;PE;151;-4.9329552;-80.3434398;http://goo.gl/iKwBcz;(073) 413508;;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30
POINT (-76.361083 -6.4880602);22201;74;L074;TARAPOTO;LA CURACAO;JR. MARTINEZ DE COMPAÑON NO. 154 - 160;;TARAPOTO;TARAPOTO;SAN MARTIN;PE;152;-6.4880602;-76.361083;http://goo.gl/o6FClV;(042) 522917;;09:00-20:00;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30;09:00-21:30
POINT (-75.6876249 -11.4200518);12651;75;L075;TARMA;LA CURACAO;JR. LIMA 773;FRENTE A LA PLAZA MAYOR DE TARMA;TARMA;TARMA;JUNIN;PE;153;-11.4200518;-75.6876249;http://goo.gl/wuJ8o9;(064) 322307;(064) 322307;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30
POINT (-76.0018972 -9.2968086);10131;76;L076;TINGO MARIA;LA CURACAO;AV. RAIMONDI 587;CUADRA 5 DE AV. RAYMONDI;TINGO MARIA;LEONCIO PRADO;HUANUCO;PE;154;-9.2968086;-76.0018972;http://goo.gl/wLkOn5;(062) 562761;(062) 562761;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30;09:30-21:30
POINT (-76.5118749 -8.1884481);22540;77;L077;TOCACHE;LA CURACAO;JR. FREDY ALIAGA 428 -436;;TOCACHE;TOCACHE;SAN MARTIN;PE;155;-8.1884481;-76.5118749;http://goo.gl/eOUppz;(042) 551160;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00
POINT (-79.0243959 -8.1113041);13001;78;L078;TRUJILLO I - MEGA;LA CURACAO;AYACUCHO 662;;TRUJILLO;TRUJILLO;LA LIBERTAD;PE;156;-8.1113041;-79.0243959;http://goo.gl/HCIoDc;(044) 203124;;;;;;;;
POINT (-79.0016743 -8.0850725);13003;79;L079;TRUJILLO II;LA CURACAO;AV SANCHEZ CARRION 547;FRENTE A LA MUNICIPALIDAD DE EL PORVENIR;EL PORVENIR;TRUJILLO;LA LIBERTAD;PE;157;-8.0850725;-79.0016743;http://goo.gl/77iPFL;(044) 410396;;;;;;;;
POINT (-80.4589215 -3.5693675);24001;80;L080;TUMBES;LA CURACAO;PASEO LOS LIBERTADORES 248;;TUMBES;TUMBES;TUMBES;PE;158;-3.5693675;-80.4589215;https://goo.gl/maps/bBBEAtCYyVJ2;(072) 525554;;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00;09:00-22:00
POINT (-76.9379157 -12.2114506);15831;81;L081;VILLA EL SALVADOR;LA CURACAO;AV. REVOLUCION 1234;MZ H LT 6;VILLA EL SALVADOR;LIMA;LIMA;PE;159;-12.2114506;-76.9379157;http://goo.gl/xx6bgl;(01) 2882000;(01) 2882059;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00
POINT (-76.9509048 -12.1664682);15809;82;L082;VILLA MARIA DEL TRIUNFO;LA CURACAO;AV. VILLA MARIA 171;;VILLA MARIA DEL TRIUNFO;LIMA;LIMA;PE;160;-12.1664682;-76.9509048;http://goo.gl/LtEOBR;(01) 4961582;;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00
POINT (-78.7549392 -8.4111765);13621;83;L083;VIRU;LA CURACAO;AV. LA ALAMEDA 351;FRENTE AL MERCADO CENTRAL DE VIRU;VIRU;VIRU;LA LIBERTAD;PE;161;-8.4111765;-78.7549392;http://goo.gl/GnKx6j;(044) 371115;;;;;;;;
POINT (-76.1058408 -5.8943485);16501;84;L084;YURIMAGUAS;LA CURACAO;JR. PROGRESO 210;A MEDIA CUADRA DEL HOTEL ANTONIO;YURIMAGUAS;ALTO AMAZONAS;LORETO;PE;162;-5.8943485;-76.1058408;http://goo.gl/O9p6Zt;(065) 352646;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00
POINT (-77.0563642 -11.9513901);15311;;;COMAS;MOTOCORP;AV. 22 DE AGOSTO CON AV.CARABAYLLO;CRUCE AV. CARABAYLLO CON 22 DE AGOSTO;COMAS;LIMA;LIMA;PE;163;-11.9513901;-77.0563642;;(01) 5248920;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-79.8418576 -6.7673008);14001;;;CHICLAYO;MOTOCORP;AV. LUIS GONZALES 1325;CERCA A LA AV. PEDRO RUIZ;CHICLAYO;CHICLAYO;LAMBAYEQUE;PE;164;-6.7673008;-79.8418576;;(074) 239597;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-76.9644411 -12.1573031);15803;;;EXPRESS SJM 1;MOTOCORP EXPRESS;AV LOS HEROES CON ENRIQUE DEL VILLAR (AL FRENTE);(ALTURA DEL PARADERO SAN JUAN DEL TREN ELECTRICO);SAN JUAN DE MIRAFLORES;LIMA;LIMA;PE;165;-12.1573031;-76.9644411;;(01) 4660495;;;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00;09:00-19:00
POINT (-80.6868959 -4.8947529);20101;;;SULLANA;MOTOCORP;AV. JOSE DE LAMA CON TRANSVERSAL CALLAO;CERCA A TRANSVERSAL CALLAO;SULLANA;SULLANA;PIURA;PE;166;-4.8947529;-80.6868959;;(073) 315186;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-76.1353242 -13.4236397);11702;;;CHINCHA;MOTOCORP;CARR. PANAMERICANA SUR CON PABLO TASAYCO;KM 199, A 1/2 CDRA DEL PTE PEATONAL;CHINCHA ALTA;CHINCHA;ICA;PE;167;-13.4236397;-76.1353242;;(056) 267922;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
POINT (-78.8027877 -5.7090868);6801;;;JAEN;MOTOCORP;AV. ROBERTO SEGURA 438;AV. PAKAMUROS ESQUINA CON AV. ROBERTO SEGURA (SEC. MORRO SOLAR BAJO);JAEN;JAEN;CAJAMARCA;PE;168;-5.7090868;-78.8027877;;(076) 432253;;;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;09:00-21:00;
